ID,ATHLETE_ID,GAME_ID,NATION_ID
25894,21325,17,135
25895,21326,18,135
25896,21326,19,135
25897,21326,20,135
25898,21327,19,18
25899,21328,19,18
25900,21329,26,18
25901,21330,22,117
25902,21331,22,131
25903,21332,18,95
25904,21333,23,15
25905,21334,18,45
25906,21334,19,45
25907,21335,18,45
25908,21335,19,45
25909,21336,18,131
25910,21337,15,85
25911,21338,16,85
25912,21339,25,107
25913,21340,9,53
25914,21340,10,53
25915,21341,22,85
25916,21342,16,135
25917,21343,20,135
25918,21344,17,135
25919,21345,16,131
25920,21346,8,5
25921,21347,23,63
25922,21348,5,63
25923,21348,6,63
25924,21349,26,22
25925,21350,25,22
25926,21350,26,22
25927,21351,20,135
25928,21352,23,128
25929,21353,24,128
25930,21354,25,27
25931,21355,20,43
25932,21356,24,53
25933,21357,11,53
25934,21358,14,53
25935,21358,15,53
25936,21358,16,53
25937,21359,26,30
25938,21360,13,95
25939,21360,14,95
25940,21360,15,95
25941,21361,19,129
25942,21362,26,61
25943,21363,26,27
