ATHLETE_NAME,GAME_ID,NATION
"AABYE, Edgar",2,ZZX
"AALTONEN, Arvo Ossian",6,FIN
"AALTONEN, Paavo Johannes",11,FIN
"AALTONEN, Paavo Johannes",12,FIN
"AAMODT, Ragnhild",26,NOR
"AANING, Alf Lied",6,NOR
"AARDENBURG, Willemien",21,NED
"AARDEWIJN, Pepijn",23,NED
"AARONES, Ann Kristin",23,NOR
"AAS, Karl Jan",6,NOR
"AAS, Thomas Valentin",5,NOR
"ABAJO, Jose Luis",26,ESP
"ABAKUMOVA, Maria",26,RUS
"ABALMASAU, Aliaksei",26,BLR
"ABALO, Luc",26,FRA
"ABANDA ETONG, Patrice",24,CMR
"ABARCA, Jose Maria",23,ESP
"ABAS, Stephen",25,USA
"ABASCAL GARCIA, Alejandro",19,ESP
"ABASCAL GOMEZ, Jose Manuel",20,ESP
"ABASSOVA, Tamilla",25,RUS
"ABATI, Joel",26,FRA
"ABAY, Peter",22,HUN
"ABAY-NEMES, Oszkar",10,HUN
"ABBA, Silvano",10,ITA
"ABBAGNALE, Agostino",21,ITA
"ABBAGNALE, Agostino",23,ITA
"ABBAGNALE, Agostino",24,ITA
"ABBAGNALE, Carmine",20,ITA
"ABBAGNALE, Carmine",21,ITA
"ABBAGNALE, Carmine",22,ITA
"ABBAGNALE, Giuseppe",20,ITA
"ABBAGNALE, Giuseppe",21,ITA
"ABBAGNALE, Giuseppe",22,ITA
"ABBOTT, Des",26,AUS
"ABBOTT, Margaret Ives",2,USA
"ABBOTT, Monica",26,USA
"ABDALLAH, Nia",25,USA
"ABDO, Reema",20,CAN
"ABDOOLLAYEV, Mahammatkodir",24,UZB
"ABDUL, Hamid",13,PAK
"ABDUL, Hamid",14,PAK
"ABDUL, Hamid",15,PAK
"ABDUL, Rashid I",14,PAK
"ABDUL, Rashid III",16,PAK
"ABDUL, Rashid III",17,PAK
"ABDUL, Rashid III",18,PAK
"ABDUL, Rashid IV",20,PAK
"ABDUL, Waheed",14,PAK
"ABDULBEKOV, Zagalav",17,URS
