YEAR,CITY,NATION,ATHLETE_ID
2008,Beijing,ITA,125
2008,Beijing,ITA,2584
2008,Beijing,ITA,2635
2008,Beijing,ITA,2741
2008,Beijing,ITA,3383
2008,Beijing,ITA,3724
2008,Beijing,ITA,4256
2008,Beijing,ITA,5145
2008,Beijing,ITA,5389
2008,Beijing,ITA,5853
2008,Beijing,ITA,5873
2008,Beijing,ITA,6545
2008,Beijing,ITA,6735
2008,Beijing,ITA,8088
2008,Beijing,ITA,12668
2008,Beijing,ITA,12830
2008,Beijing,ITA,13393
2008,Beijing,ITA,13810
2008,Beijing,ITA,14356
2008,Beijing,ITA,14493
2008,Beijing,ITA,14498
2008,Beijing,ITA,14774
2008,Beijing,ITA,15286
2008,Beijing,ITA,15360
2008,Beijing,ITA,15708
2008,Beijing,ITA,15952
2008,Beijing,ITA,16040
2008,Beijing,ITA,16162
2008,Beijing,ITA,16372
2008,Beijing,ITA,16472
2008,Beijing,ITA,16490
2008,Beijing,ITA,16561
2008,Beijing,ITA,16822
2008,Beijing,ITA,16970
2008,Beijing,ITA,18439
2008,Beijing,ITA,18569
2008,Beijing,ITA,19128
2008,Beijing,ITA,19742
2008,Beijing,ITA,19818
